"",,,"2008-2012",,
"Afghanistan","Groundwater produced internally (10^9 m3/year)",2012,10.65,"","[1]"
"Afghanistan","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"I",

"",,,"2008-2012",,
"Albania","Groundwater produced internally (10^9 m3/year)",2012,6.2,"",
"Albania","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"I",

"",,,"2008-2012",,
"Algeria","Groundwater produced internally (10^9 m3/year)",2012,1.487,"",
"Algeria","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.03,"",

"",,,"2008-2012",,
"Andorra","Groundwater produced internally (10^9 m3/year)",,,"",
"Andorra","Groundwater: entering the country (total) (10^9 m3/year)",,,"",

"",,,"2008-2012",,
"Angola","Groundwater produced internally (10^9 m3/year)",2012,58.0,"",
"Angola","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"",

"",,,"2008-2012",,
"Antigua and Barbuda","Groundwater produced internally (10^9 m3/year)",,,"",
"Antigua and Barbuda","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"",

"",,,"2008-2012",,
"Argentina","Groundwater produced internally (10^9 m3/year)",2012,128.0,"","[2]"
"Argentina","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"",

"",,,"2008-2012",,
"Armenia","Groundwater produced internally (10^9 m3/year)",2012,4.311,"",
"Armenia","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"I",

"",,,"2008-2012",,
"Australia","Groundwater produced internally (10^9 m3/year)",2012,72.0,"",
"Australia","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"",

"",,,"2008-2012",,
"Austria","Groundwater produced internally (10^9 m3/year)",2012,6.0,"",
"Austria","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"I",

"",,,"2008-2012",,
"Azerbaijan","Groundwater produced internally (10^9 m3/year)",2012,6.51,"",
"Azerbaijan","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"I",

"",,,"2008-2012",,
"Bahamas","Groundwater produced internally (10^9 m3/year)",,,"",
"Bahamas","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"",

"",,,"2008-2012",,
"Bahrain","Groundwater produced internally (10^9 m3/year)",2012,0.0,"",
"Bahrain","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.112,"",

"",,,"2008-2012",,
"Bangladesh","Groundwater produced internally (10^9 m3/year)",2012,21.09,"",
"Bangladesh","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.032,"",

"",,,"2008-2012",,
"Barbados","Groundwater produced internally (10^9 m3/year)",2012,0.074,"",
"Barbados","Groundwater: entering the country (total) (10^9 m3/year)",2012,0.0,"",

"",,,"2008-2012",,
